origin,mae,rmse,n
2021-05-13,360.1695833333333,526.201994492926,48
2021-05-14,442.7895833333334,559.4856437277904,48
2021-05-15,639.729375,781.2983116008998,48
2021-05-16,833.4408333333332,915.6894604454246,48
2021-05-17,796.188125,886.3186027644065,48
2021-05-18,711.3147916666667,803.9489297873654,48
2021-05-19,717.4512500000001,846.5906392480961,48
2021-05-20,696.9629166666667,762.6916805438706,48
2021-05-21,1106.6935416666668,1243.1792311440522,48
2021-05-22,375.76291666666657,411.0668171102682,48
2021-05-23,277.6741666666666,328.944495007643,48
2021-05-24,303.330625,370.1427507479377,48
2021-05-25,480.66854166666684,537.1534857177696,48
2021-05-26,584.0904166666668,655.2210264864827,48
2021-05-27,169.25854166666673,209.372637494134,48
2021-05-28,464.4070833333333,646.8980982285128,48
2021-05-29,665.1081249999999,771.7736226529878,48
2021-05-30,530.1841666666667,579.2108640857836,48
2021-05-31,472.26458333333335,521.4326741256567,48
2021-06-01,801.0893750000001,841.999119794918,48
2021-06-02,595.0447916666667,691.8278844797671,48
2021-06-03,1019.8312500000002,1474.9096648213183,48
2021-06-04,241.44479166666665,339.5374374332675,48
2021-06-05,309.7520833333335,468.6309489353003,48
2021-06-06,316.60479166666676,398.4352047358726,48
2021-06-07,245.84250000000006,312.40028322383665,48
2021-06-08,436.10375000000005,561.6090662959721,48
2021-06-09,894.2104166666667,1115.4227737032418,48
2021-06-10,1133.3039583333332,1166.6653150548716,48
2021-06-11,1066.9572916666666,1117.762481717568,48
2021-06-12,399.8802083333333,485.96863227175817,48
2021-06-13,134.23062500000006,169.2859327255221,48
2021-06-14,546.0891666666666,750.4056071996441,48
2021-06-15,219.80062500000005,297.0600511716165,48
2021-06-16,574.7256249999997,684.6663492336368,48
2021-06-17,1598.4518749999997,1912.7489964756874,48
2021-06-18,753.7566666666667,802.0490187404383,48
2021-06-19,457.86291666666676,608.5495437274055,48
2021-06-20,586.6329166666666,782.7332622265603,48
2021-06-21,918.274375,1061.5520794680383,48
2021-06-22,275.5389583333333,318.72661100136696,48
2021-06-23,261.4493749999999,380.34562629764775,48
2021-06-24,570.085,711.2200648240553,48
2021-06-25,464.48354166666667,501.48678743603665,48
2021-06-26,566.1981250000001,816.5149166388512,48
2021-06-27,455.324375,714.2366265971779,48
2021-06-28,206.51416666666668,245.03712103985393,48
2021-06-29,296.61750000000006,383.49711472730377,48
2021-06-30,294.0422916666666,354.5977692370845,48
2021-07-01,251.16020833333334,308.71695925434676,48
2021-07-02,181.16874999999996,281.546762812148,48
2021-07-03,91.4352083333332,114.34855742604117,48
2021-07-04,114.06604166666672,139.24474525543147,48
2021-07-05,364.0139583333334,542.1860643400781,48
2021-07-06,518.5245833333335,608.7902061944931,48
2021-07-07,733.8629166666666,870.2153242157942,48
2021-07-08,666.6125000000001,750.4711351877567,48
2021-07-09,1408.5045833333334,1634.6022494733493,48
2021-07-10,807.7591666666667,950.602235837454,48
2021-07-11,239.22104166666668,307.9176734094954,48
2021-07-12,163.69000000000005,259.43191545021347,48
2021-07-13,724.7566666666668,788.7459815560607,48
2021-07-14,929.8272916666668,1094.2819162992614,48
2021-07-15,1104.9058333333332,1154.2096506899572,48
2021-07-16,1288.5852083333332,1530.6494480850006,48
2021-07-17,588.759375,728.7725920383187,48
2021-07-18,451.8958333333333,542.4948525024607,48
2021-07-19,246.43937499999993,320.42500127759996,48
2021-07-20,525.0318750000002,761.9402391879235,48
2021-07-21,777.0183333333334,1065.103478550715,48
2021-07-22,820.7245833333333,904.3398325044445,48
2021-07-23,728.3866666666667,901.1249578605436,48
2021-07-24,320.8883333333334,412.69109281842594,48
2021-07-25,366.5154166666667,465.011389999392,48
2021-07-26,615.5208333333334,679.0081710296275,48
2021-07-27,1206.71375,1471.0913922634672,48
2021-07-28,1103.3529166666667,1236.0911527539815,48
2021-07-29,1063.853125,1154.5864244476247,48
2021-07-30,780.0689583333333,1171.8868888934703,48
2021-07-31,492.71125,626.2859500060654,48
2021-08-01,829.2483333333334,955.8560761018541,48
2021-08-02,339.9166666666666,385.6656676179079,48
2021-08-03,145.51499999999993,199.60411951952958,48
2021-08-04,447.9347916666666,639.9855030926481,48
2021-08-05,245.94229166666685,277.4211076932505,48
2021-08-06,617.4739583333331,648.1037976586645,48
2021-08-07,465.27229166666666,546.7259521517614,48
2021-08-08,797.87875,882.4611410448432,48
2021-08-09,106.41083333333337,131.04173602011946,48
2021-08-10,354.61062499999997,404.6481612231173,48
2021-08-11,1040.3943749999999,1207.0868702885127,48
2021-08-12,813.0002083333333,851.6948421346403,48
2021-08-13,162.19645833333337,184.7153181305854,48
2021-08-14,277.6079166666666,341.697217028468,48
2021-08-15,1065.5345833333333,1324.19228778496,48
2021-08-16,531.6356250000002,584.3112307790973,48
2021-08-17,214.91729166666656,266.05074481900994,48
2021-08-18,631.4779166666667,690.2563385800959,48
2021-08-19,505.5083333333332,587.5076140570434,48
2021-08-20,338.036875,415.7687736766476,48
2021-08-21,426.8412500000001,473.8609928862754,48
2021-08-22,440.83374999999995,515.6568032979881,48
2021-08-23,639.4618749999998,689.266086614052,48
2021-08-24,1512.9145833333334,1906.427882425008,48
2021-08-25,565.9499999999999,755.5599784707147,48
2021-08-26,235.60937499999997,293.5030907382691,48
2021-08-27,603.3191666666667,716.4061782402727,48
2021-08-28,555.6027083333335,610.5275737886456,48
2021-08-29,1121.6439583333333,1284.9535531886293,48
2021-08-30,780.2920833333334,854.8819805242124,48
2021-08-31,1821.41875,2220.541926186976,48
2021-09-01,1385.1022916666668,1543.2589438972159,48
2021-09-02,852.2512499999999,926.2209887831846,48
2021-09-03,1132.1785416666667,1194.1195327337418,48
2021-09-04,719.0652083333334,783.8195657683281,48
2021-09-05,802.8035416666667,830.2679679313881,48
2021-09-06,486.1137499999999,541.6718269664452,48
2021-09-07,215.69895833333348,290.45730353544803,48
2021-09-08,95.88083333333334,117.14871302109981,48
2021-09-09,281.8839583333333,346.40717393877685,48
2021-09-10,213.61187500000003,243.31907461791127,48
2021-09-11,801.1608333333334,1041.6216055086895,48
2021-09-12,681.8897916666668,747.7235962615131,48
2021-09-13,520.7852083333333,598.2192226220948,48
2021-09-14,679.3835416666667,809.8569024795369,48
2021-09-15,390.3420833333333,469.4694811344681,48
2021-09-16,520.2520833333333,617.4986381597669,48
2021-09-17,318.4495833333333,354.407632318822,48
2021-09-18,521.594375,729.113740853979,48
2021-09-19,251.03562500000007,302.351159040141,48
2021-09-20,530.3891666666667,671.558621519745,48
2021-09-21,336.9483333333333,373.93681125068895,48
2021-09-22,390.7241666666667,442.80500997899753,48
2021-09-23,533.804375,647.324807790687,48
2021-09-24,346.6941666666666,413.3511367015941,48
2021-09-25,436.2277083333333,671.8267143408956,48
2021-09-26,683.8833333333333,856.2844113109654,48
2021-09-27,392.2247916666667,455.2438674193389,48
2021-09-28,511.4243749999999,615.5488898316011,48
2021-09-29,830.2364583333336,1035.3474290817794,48
2021-09-30,423.36958333333337,530.2940601881501,48
2021-10-01,333.7608680555556,423.0855680081405,48
2021-10-02,263.41319444444446,360.3634678586741,48
2021-10-03,875.1780902777779,1014.285204864605,48
2021-10-04,1228.315763888889,1301.8383018857269,48
2021-10-05,454.57857638888896,518.811633440863,48
2021-10-06,1026.625763888889,1333.430478246318,48
2021-10-07,443.2262152777777,539.7643312164394,48
2021-10-08,397.1354513888889,471.38738761487105,48
2021-10-09,347.90649305555553,444.0977090017095,48
2021-10-10,525.5176388888889,708.5655768124208,48
2021-10-11,1475.0979166666666,1748.40832792289,48
2021-10-12,1215.3990277777777,1492.934372904583,48
2021-10-13,1003.8109375,1368.7486565123418,48
2021-10-14,413.42465277777774,592.6185771353883,48
2021-10-15,301.69590277777775,416.62429917849505,48
2021-10-16,173.5271527777778,227.35786657114468,48
2021-10-17,630.1637152777777,939.4559958039066,48
2021-10-18,818.565,1054.0492780637942,48
2021-10-19,933.6659374999999,1198.870530923857,48
2021-10-20,743.4149652777779,954.7847557542276,48
2021-10-21,173.45180555555547,282.53271756051464,48
2021-10-22,190.88902777777776,271.5871126318131,48
2021-10-23,331.86090277777777,501.1519204780548,48
2021-10-24,237.19072916666673,335.75105565291767,48
2021-10-25,92.03215277777792,104.18898330444497,48
2021-10-26,177.91256944444444,248.10015684334897,48
2021-10-27,193.6300000000002,267.4174655157125,48
2021-10-28,358.6187152777777,589.0321296380115,48
2021-10-29,468.0635416666667,608.5526114696285,48
2021-10-30,231.69809027777785,320.975699764835,48
2021-10-31,112.46760416666666,176.15839726219065,48
2021-11-01,203.8318402777777,276.66977010966457,48
2021-11-02,193.00951388888896,248.01061498200028,48
2021-11-03,188.27739583333354,211.88014840803234,48
2021-11-04,448.3824305555556,569.2003040680472,48
2021-11-05,229.9936458333334,291.4197927358504,48
2021-11-06,92.0106944444445,120.56968171542266,48
2021-11-07,587.1350694444444,875.8575800619457,48
2021-11-08,169.3544444444444,230.00753403446532,48
2021-11-09,123.15673611111096,139.86337672762207,48
2021-11-10,647.6904513888888,937.6454751518522,48
2021-11-11,145.38593750000007,192.62841237919503,48
2021-11-12,163.26385416666668,224.93743335249027,48
2021-11-13,189.8839930555556,314.7166581688886,48
2021-11-14,474.5643750000001,691.435418664699,48
2021-11-15,392.0487847222221,545.0876316823018,48
2021-11-16,312.41548611111097,405.42734304672956,48
2021-11-17,761.7226736111112,1092.634124938778,48
2021-11-18,648.4453472222223,931.6450517179949,48
2021-11-19,255.8484027777779,328.39529045363867,48
2021-11-20,336.6492708333332,456.29317276858285,48
2021-11-21,698.5357986111109,1003.9800750897683,48
2021-11-22,330.8992361111112,477.85776846082183,48
2021-11-23,503.69163194444445,703.5322800900905,48
2021-11-24,630.3328472222223,840.4384000406261,48
2021-11-25,832.863541666667,1091.7765314600747,48
2021-11-26,298.1710069444447,478.2651668919772,48
2021-11-27,200.84225694444436,250.62343796536865,48
2021-11-28,404.3522222222221,549.0480760656263,48
2021-11-29,135.0705555555556,162.9617740822584,48
2021-11-30,374.1172222222223,422.24903070122616,48
2021-12-01,148.51315972222224,179.02698471319258,48
2021-12-02,363.2372569444445,466.7643409461325,48
2021-12-03,305.5687847222223,479.3379137634773,48
2021-12-04,173.77347222222224,205.15266020116766,48
2021-12-05,145.30253472222225,201.44169909681452,48
2021-12-06,297.91763888888886,462.80690900754234,48
2021-12-07,284.9117708333334,418.00525481499784,48
2021-12-08,206.3330208333333,251.87434297416837,48
2021-12-09,238.43927083333338,305.8805305357335,48
2021-12-10,238.05840277777793,344.86990703336113,48
2021-12-11,191.4097222222221,267.1829689371054,48
2021-12-12,390.7319097222221,553.7870970261918,48
2021-12-13,426.2763541666666,638.5273131570109,48
2021-12-14,306.00250000000005,468.942072475622,48
2021-12-15,530.4974652777778,660.2181638064537,48
2021-12-16,309.34100694444464,413.9564114202856,48
2021-12-17,181.6394791666669,225.88239732514413,48
2021-12-18,1435.6212152777778,1994.4989971872246,48
2021-12-19,1470.898888888889,1873.857935072739,48
2021-12-20,1281.5931597222223,1608.8690697642364,48
2021-12-21,1473.9548958333332,1741.5526461148845,48
2021-12-22,578.9735416666667,694.155018264946,48
2021-12-23,426.9321874999998,512.9450800097336,48
2021-12-24,213.75861111111112,282.4817520478911,48
2021-12-25,1044.204548611111,1376.2123814046797,48
2021-12-26,1094.0122569444445,1259.3041052010494,48
2021-12-27,1809.4776736111107,2076.7226105946443,48
2021-12-28,2372.6481944444445,2658.31026475181,48
2021-12-29,1584.8038888888887,1727.921832087937,48
2021-12-30,1335.2976736111111,1551.7061246409405,48
2021-12-31,606.6255555555555,709.2775652144587,48
2022-01-01,257.43024305555554,341.5625025382907,48
2022-01-02,505.1626388888889,728.5297731707993,48
2022-01-03,765.8981597222222,890.0998566643264,48
2022-01-04,1431.4819791666669,1594.1583874867963,48
2022-01-05,1198.7186805555555,1341.192591575667,48
2022-01-06,1128.1766666666665,1337.960166018437,48
2022-01-07,1011.6770833333334,1194.6884846327114,48
2022-01-08,709.5342708333332,839.2506208983002,48
2022-01-09,452.19638888888875,578.7688589672917,48
2022-01-10,1134.6140972222222,1319.9561204768358,48
2022-01-11,649.9044791666666,847.4424551666076,48
2022-01-12,166.98649305555554,191.08920770743936,48
2022-01-13,179.03402777777788,215.17507100969615,48
2022-01-14,332.20538194444447,392.75402485243785,48
2022-01-15,323.6536805555557,343.78129861821986,48
2022-01-16,430.7496180555558,577.2725562824407,48
2022-01-17,583.2572916666667,730.7285893861662,48
2022-01-18,445.9603124999999,485.3308204189728,48
2022-01-19,401.5409722222221,461.06127143272613,48
2022-01-20,560.5558333333332,638.1014685021729,48
2022-01-21,810.1593402777777,1010.7077223752292,48
2022-01-22,1006.2176388888889,1233.210556436571,48
2022-01-23,898.3650694444445,1082.4983069799546,48
2022-01-24,1263.0308680555556,1587.5003258322972,48
2022-01-25,493.2908333333334,605.397698933676,48
2022-01-26,597.6377777777778,726.8094497704186,48
2022-01-27,624.983576388889,810.867565487667,48
2022-01-28,1156.5840624999998,1358.0054298188275,48
2022-01-29,1259.3115277777779,1510.6238291942168,48
2022-01-30,1153.9684375,1321.1955779990078,48
2022-01-31,1275.3775694444446,1512.3560730409267,48
2022-02-01,1581.9798263888888,1989.6991769778028,48
2022-02-02,995.1206597222223,1235.4871566877318,48
2022-02-03,598.1553819444445,807.3169909233343,48
2022-02-04,1401.7146874999999,1642.8172217238343,48
2022-02-05,1532.6837847222223,1773.4300065884602,48
2022-02-06,1475.103159722222,1644.6638817680357,48
2022-02-07,1770.9556249999998,2066.5972298009474,48
2022-02-08,2285.317673611111,2768.8988109543784,48
2022-02-09,985.4314236111113,1157.5271774923938,48
2022-02-10,917.6671874999998,1329.6505605074203,48
2022-02-11,593.6452777777777,696.1053193971838,48
2022-02-12,329.92701388888895,431.12124483038093,48
2022-02-13,214.67319444444456,247.18639467257685,48
2022-02-14,402.9575347222223,556.6126565733991,48
2022-02-15,748.1289583333332,929.9298393558008,48
2022-02-16,220.82572916666697,322.62310653449083,48
2022-02-17,158.30656250000004,287.6793792775496,48
2022-02-18,556.5402430555555,814.2076392312842,48
2022-02-19,209.21597222222235,235.86112022206507,48
2022-02-20,655.1399999999999,894.759996276611,48
2022-02-21,670.6670138888888,850.0985701145954,48
2022-02-22,524.9756944444445,648.284636146098,48
2022-02-23,319.6565625,455.54889431882526,48
2022-02-24,646.7565277777779,837.1274673711973,48
2022-02-25,555.0619791666667,707.4939530978093,48
2022-02-26,351.41659722222215,492.22015577087706,48
2022-02-27,539.2199652777776,675.4352207162207,48
2022-02-28,519.9570138888889,665.531508209983,48
2022-03-01,232.3737847222221,319.24351495133584,48
2022-03-02,295.85013888888886,371.46586061217965,48
2022-03-03,610.6365972222221,677.3512310394253,48
2022-03-04,399.8044791666667,482.60778520473525,48
2022-03-05,278.22854166666684,401.61131753243575,48
2022-03-06,121.04795138888896,173.95475084484767,48
2022-03-07,294.3054861111111,369.3985465787157,48
2022-03-08,238.8621180555555,294.8442745271982,48
2022-03-09,390.75104166666665,537.2014556193609,48
2022-03-10,637.1963194444444,833.7968673913591,48
2022-03-11,760.874201388889,866.1076279850429,48
2022-03-12,934.4509374999999,1066.6904950362837,48
2022-03-13,659.3588888888889,729.7524024034054,48
2022-03-14,923.8773958333333,1073.2694933636785,48
2022-03-15,729.2989583333334,965.2937836692565,48
2022-03-16,150.82861111111123,181.6856401735004,48
2022-03-17,585.7401736111111,704.5204923530815,48
2022-03-18,607.5754861111111,707.8882181863931,48
2022-03-19,406.04430555555547,485.24464966460476,48
2022-03-20,300.1148958333335,408.94666213994856,48
2022-03-21,169.50934027777774,214.9304759254473,48
2022-03-22,362.2144444444446,521.4252663097376,48
2022-03-23,149.3164583333333,187.56001233432423,48
2022-03-24,448.15972222222246,526.1016424668962,48
2022-03-25,378.5695486111111,443.39592643377676,48
2022-03-26,198.2214930555555,216.51970730527623,48
2022-03-27,516.5834722222223,760.7741806787244,48
2022-03-28,242.88777777777787,358.7930656540876,48
2022-03-29,625.1586458333333,843.6214207976503,48
2022-03-30,79.30847222222214,103.57596433071252,48
2022-03-31,187.6572569444445,282.87786364741334,48
2022-04-01,171.45763888888882,209.94274361374048,48
2022-04-02,269.0040277777777,343.2999533323389,48
2022-04-03,473.21006944444434,699.3497778344255,48
2022-04-04,543.0431944444446,720.5544381645046,48
2022-04-05,705.5559375000001,980.49701733996,48
2022-04-06,202.62239583333334,300.39721096471897,48
2022-04-07,453.5099305555555,500.4387945776057,48
2022-04-08,263.33211805555567,314.8417919229619,48
2022-04-09,334.309375,379.7548363936289,48
2022-04-10,272.6319097222222,314.3527554692701,48
2022-04-11,325.701527777778,418.9727318694092,48
2022-04-12,240.28295138888862,374.6744032677738,48
2022-04-13,208.11677083333333,250.7098891403954,48
2022-04-14,626.5581597222222,818.5299898970237,48
2022-04-15,1100.1500000000003,1332.6973256629453,48
2022-04-16,533.1731597222223,658.8773217755894,48
2022-04-17,443.335173611111,525.4532346573416,48
2022-04-18,873.8741666666668,984.4908957176424,48
2022-04-19,280.07874999999996,331.30257945734814,48
2022-04-20,445.0246527777779,562.0197832677912,48
2022-04-21,213.3296527777778,254.28677776104922,48
2022-04-22,1055.601875,1255.6604199088138,48
2022-04-23,403.82684027777776,449.5349359898572,48
2022-04-24,346.8914583333332,379.03950035015396,48
2022-04-25,325.3271527777778,424.1900229006716,48
2022-04-26,416.05180555555563,573.5585903851756,48
2022-04-27,829.1928472222222,1094.414638047679,48
2022-04-28,519.0097569444446,682.0883568017774,48
2022-04-29,137.794375,194.1387722470279,48
2022-04-30,352.53024305555545,546.0281619761081,48
