origin,mae,rmse,n,cov50,cov80,cov95,crps
2021-09-28,415.3686890194446,495.5257650168319,48,0.75,1.0,1.0,282.5175730682408
2021-09-29,556.4779083629862,746.3550240246443,48,0.6458333333333334,0.7708333333333334,0.9791666666666666,405.54843036946545
2021-09-30,875.1998980758609,940.4119319840008,48,0.020833333333333332,0.6875,1.0,552.9399624236
2021-10-01,245.06508620347049,290.8444262595466,48,0.9166666666666666,1.0,1.0,223.3551568477592
2021-10-02,246.91983444871119,390.12595730583007,48,0.8125,0.8958333333333334,1.0,260.88520144536534
2021-10-03,1097.6408766739842,1221.5694140609178,48,0.0625,0.4166666666666667,0.8958333333333334,733.2254586690711
2021-10-04,762.9208603065666,893.0032108158548,48,0.2708333333333333,0.7708333333333334,1.0,485.4294966330064
2021-10-05,631.3711239321998,740.6648768159566,48,0.375,1.0,1.0,391.1433761287267
2021-10-06,587.9796020804889,703.1589493416874,48,0.3958333333333333,1.0,1.0,370.1243659508021
2021-10-07,436.78452299320946,546.069482545444,48,0.6875,1.0,1.0,292.27363936626597
2021-10-08,251.9032498286368,305.4367506065334,48,0.9791666666666666,1.0,1.0,220.44773731058444
2021-10-09,539.2683740287531,599.583976680637,48,0.6041666666666666,0.8958333333333334,1.0,354.1983737197617
2021-10-10,533.433036466416,756.1220978345661,48,0.5833333333333334,0.8125,1.0,400.1527519617145
2021-10-11,1849.5988685941502,2072.354333030877,48,0.10416666666666667,0.22916666666666666,0.4166666666666667,1453.6061526599185
2021-10-12,1755.231089501911,1958.9668186419444,48,0.10416666666666667,0.16666666666666666,0.4166666666666667,1349.002289921403
2021-10-13,1185.528628208003,1306.8475715746827,48,0.125,0.3541666666666667,0.8333333333333334,808.5132025467628
2021-10-14,374.9218496577793,447.67332906490026,48,0.8125,1.0,1.0,264.42733512902186
2021-10-15,374.1559907940734,480.70197959543987,48,0.7708333333333334,0.9583333333333334,1.0,281.56970736642126
2021-10-16,723.6191539985962,909.6634806209022,48,0.4375,0.5416666666666666,0.8541666666666666,533.3553663179476
2021-10-17,1328.7520210284104,1526.1215125729166,48,0.16666666666666666,0.4583333333333333,0.6041666666666666,973.5286131544423
2021-10-18,788.742096092404,920.5372611959026,48,0.22916666666666666,0.8333333333333334,1.0,496.8922765773389
2021-10-19,291.7056985741583,402.9930784148269,48,0.8541666666666666,1.0,1.0,242.17659857077865
2021-10-20,240.7733118664381,288.08015781378214,48,1.0,1.0,1.0,215.81487453043437
2021-10-21,273.48331765113613,340.4988322331561,48,1.0,1.0,1.0,225.9067548629994
2021-10-22,113.47959210834772,141.34963931099105,48,1.0,1.0,1.0,193.768936246982
2021-10-23,331.462117158802,412.8917921800011,48,0.6875,0.9375,1.0,273.8579205794969
2021-10-24,213.04050248811606,259.04288516102383,48,0.9375,1.0,1.0,212.79480790694774
2021-10-25,298.59769856483575,364.1714267051431,48,0.8958333333333334,0.9166666666666666,1.0,250.087413785809
2021-10-26,128.83734785748632,152.85677009582625,48,0.9791666666666666,1.0,1.0,194.43155762612858
2021-10-27,278.8048706299732,320.1520022589869,48,0.9375,1.0,1.0,229.39833608069065
2021-10-28,518.896246199101,744.4803951167744,48,0.6666666666666666,0.875,0.9583333333333334,389.00176027506285
2021-10-29,1149.751204791994,1336.3644892003742,48,0.25,0.5416666666666666,0.7083333333333334,809.9403648909192
2021-10-30,296.0848189191467,346.20909660205666,48,0.9375,1.0,1.0,234.19821170223756
2021-10-31,951.2976884861904,1109.2771551083288,48,0.3333333333333333,0.5208333333333334,0.875,648.4041579602044
2021-11-01,319.1875161049104,404.9980295973607,48,0.8541666666666666,1.0,1.0,248.80173470403918
2021-11-02,320.29974575439013,354.02848457114305,48,0.9166666666666666,1.0,1.0,242.5281402303458
2021-11-03,134.48310594708738,161.69586090788937,48,1.0,1.0,1.0,195.6210781860677
2021-11-04,543.2881260719552,768.9365040218247,48,0.625,0.7291666666666666,0.9166666666666666,429.0096596438381
2021-11-05,690.6095286764403,788.1094269633204,48,0.5,0.7291666666666666,0.9791666666666666,458.5490450222365
