origin,mae,rmse,n
2021-09-04,922.4382399495895,1000.1010430083539,48
2021-09-05,943.6695480852158,1066.5439886514716,48
2021-09-06,1061.1731176733408,1253.1914093409,48
2021-09-07,1169.5369385007461,1409.6237210089819,48
2021-09-08,1232.8912882985771,1413.8988215939814,48
2021-09-09,1476.2350328014666,1602.5854983255517,48
2021-09-10,1646.305035112424,1736.0839238710641,48
2021-09-11,1672.0898926190396,1815.8207306322893,48
2021-09-12,1577.853902938683,1685.6811428526928,48
2021-09-13,1039.1790749930972,1109.6737306591185,48
2021-09-14,653.5909391639294,743.8247713541402,48
2021-09-15,774.4392129977441,970.127936611401,48
2021-09-16,885.5841532567221,1022.8077115850075,48
2021-09-17,1320.8379114954641,1505.446678416351,48
2021-09-18,1099.7522095714887,1188.1091325947193,48
2021-09-19,1516.6965237765883,1704.5581385981234,48
2021-09-20,1504.0173329274685,1589.046053608557,48
2021-09-21,925.5082873452684,1043.4913934469673,48
2021-09-22,1112.978899825475,1327.9962084745596,48
2021-09-23,1359.9936151825978,1536.1265441156918,48
2021-09-24,1552.0732370419548,1674.8137237841593,48
2021-09-25,1396.045844919512,1569.137625853419,48
2021-09-26,749.2039648606656,889.0313392231859,48
2021-09-27,1065.8139717178717,1134.5564667133028,48
2021-09-28,1319.9528756639418,1428.914943987586,48
2021-09-29,759.9685669447331,848.0699308235311,48
2021-09-30,1238.1028496172444,1286.8173567204065,48
2021-10-01,1231.9676319399068,1281.5788617812834,48
2021-10-02,1273.4983976258666,1405.9126757472354,48
2021-10-03,1557.934191943484,1693.8680827337882,48
2021-10-04,2213.522046905823,2303.35584965256,48
2021-10-05,1673.1879911676333,1754.1632035153004,48
2021-10-06,1539.6899689401844,1695.195082432371,48
2021-10-07,1452.4457580196274,1537.0709033550681,48
2021-10-08,1382.7135701345221,1491.3852122356866,48
2021-10-09,1409.183620036377,1545.051680095924,48
2021-10-10,1051.250512004647,1137.6259109080886,48
2021-10-11,614.9815639102931,717.8547050783515,48
2021-10-12,459.8842356717585,542.0361030481463,48
2021-10-13,476.5495937917267,578.276177802058,48
2021-10-14,951.26106652608,1006.5740604800246,48
2021-10-15,1039.7675768786041,1111.8073594551029,48
2021-10-16,1311.6008636559084,1450.6514539481348,48
2021-10-17,1472.4768805366493,1662.7975319068296,48
2021-10-18,1355.4368265359415,1431.8399280843307,48
2021-10-19,1218.573737449461,1289.4713355704919,48
2021-10-20,1104.5763400403905,1181.3089487383636,48
